Incident_ID,Civilian_Officer,ORI,Gender,Race_Ethnic_Group,Asian_Race,HI_Islander_Race,Age,Injured,Injury_Level,Injury_Type,Medical_Aid,Injury_From_Preexisting_Condition,Received_Force_Location,Order_Of_Force_Specified,Order_Of_Force_Str,Received_Force,Received_Force_Type,DISCHARGE_OF_FIREARM_INDIVIDUAL,DISCHARGE_OF_FIREARM_INCIDENT,CIVILIAN_Signs_Impairment_Disability,CIVILIAN_Assaulted_Officer,CIVILIAN_Highest_Charge,CIVILIAN_Perceived_Armed,CIVILIAN_Perceived_Armed_Weapon,CIVILIAN_Firearm_Type,CIVILIAN_Resisted,CIVILIAN_Resistance_Type,CIVILIAN_Custody_Status,CIVILIAN_Confirmed_Armed,CIVILIAN_Confirmed_Armed_Weapon,CIVILIAN_K12_Type,OFFICER_Officer_Used_Force,OFFICER_Officer_Used_Force_Reason,OFFICER_On_Duty,OFFICER_Dress
URSUS-01-0000-2019-402,Civilian,CA0010000,male,black,,,18_20,FALSE,,,,FALSE,arms_hands,FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,none,TRUE,69 OBSTRUCT/RESIST EXEC OFF,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2019-402,Officer,CA0010000,male,white,,,26_30,TRUE,serious_injury,concussion,treated_at_facility_released,FALSE,head,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2019-402,Officer,CA0010000,male,white,,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,FALSE,,TRUE,utility
URSUS-01-0000-2019-481,Civilian,CA0010000,male,black,,,21_25,TRUE,injury,abrasion_laceration,treated_on_scene,FALSE,"rear_lower_back, arms_hands",FALSE,"other_control_hold, other_physical_contact, electronic_device",TRUE,"other_control_hold, other_physical_contact, electronic_device",FALSE,FALSE,mental_disability,TRUE,69 OBSTRUCT/RESIST EXEC OFF,TRUE,knife_blade_stabbing,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2019-481,Officer,CA0010000,male,white,,,31_35,TRUE,serious_injury,"bone_fracture, internal_injury",critial_injuries,FALSE,head,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance",TRUE,utility
URSUS-01-0000-2019-481,Officer,CA0010000,male,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance, defense",TRUE,tactical
URSUS-01-0000-2019-481,Officer,CA0010000,male,white,,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2019-481,Officer,CA0010000,male,hispanic,,,51_55,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2019-481,Officer,CA0010000,female,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance, defense",TRUE,utility
URSUS-01-0000-2019-684,Civilian,CA0010000,male,black,,,36_40,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,"head, arms_hands",FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,none,FALSE,459 BURGLARY:FIRST DEGREE,FALSE,,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2019-684,Officer,CA0010000,male,"white, asian",filipino,,21_25,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance",TRUE,utility
URSUS-01-0000-2019-684,Officer,CA0010000,female,white,,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance",TRUE,utility
URSUS-01-0000-2019-6fc,Civilian,CA0010000,male,black,,,41_45,TRUE,death,gunshot_wound,died_in_transit,FALSE,"front_upper_chest, arms_hands",FALSE,discharge_of_firearm_hit,TRUE,discharge_of_firearm_hit,TRUE,TRUE,none,TRUE, ,TRUE,other_dangerous_weapon,,TRUE,life_threatening,deceased,TRUE,other_dangerous_weapon,,,,,
URSUS-01-0000-2019-6fc,Officer,CA0010000,male,black,,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance, defense",TRUE,patrol_uniform
URSUS-01-0000-2019-6fc,Officer,CA0010000,female,hispanic,,,36_40,TRUE,injury,"sprain, dislocation",treated_on_scene,FALSE,not_applicable,,,TRUE,"civilian_physical, civilian_vehicle",FALSE,TRUE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance, defense",TRUE,patrol_uniform
URSUS-01-0000-2019-6fc,Officer,CA0010000,male,hispanic,,,56_60,FALSE,,,,FALSE,not_applicable,,,TRUE,"civilian_physical, civilian_vehicle",FALSE,TRUE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance, defense",TRUE,patrol_uniform
URSUS-01-0000-2019-701,Civilian,CA0010000,male,black,,,41_45,TRUE,injury,abrasion_laceration,treated_on_scene,FALSE,"head, rear_lower_back",FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,none,TRUE,69 OBSTRUCT/RESIST EXEC OFF,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0000-2019-701,Officer,CA0010000,male,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2019-701,Officer,CA0010000,male,white,,,36_40,TRUE,serious_injury,concussion,treated_at_facility_released,FALSE,head,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,utility
URSUS-01-0000-2019-701,Officer,CA0010000,male,white,,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"overcome_resistance, defense",TRUE,tactical
URSUS-01-0000-2019-d18,Civilian,CA0010000,male,white,,,56_60,TRUE,serious_injury,unconscious,treated_at_facility_released,FALSE,"head, arms_hands",FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,alcohol_impairment,FALSE,148(A)(1) OBSTRUCT/ETC PUB OFCR/ETC,FALSE,,,TRUE,active_resistance,cited_and_released,FALSE,,,,,,
URSUS-01-0000-2019-d18,Officer,CA0010000,male,white,,,36_40,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance",TRUE,utility
URSUS-01-0000-2019-d18,Officer,CA0010000,male,white,,,46_50,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance",TRUE,utility
URSUS-01-0400-2019-5d0,Civilian,CA0010400,male,other,,,21_25,TRUE,injury,internal_injury,treated_at_facility_released,FALSE,"arms_hands, front_legs",FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,none,TRUE,148.10(A) RESIST PO:CAUSE DEATH/SBI,FALSE,,,TRUE,active_resistance,in_custody_other,FALSE,,,,,,
URSUS-01-0400-2019-5d0,Officer,CA0010400,male,white,,,21_25,TRUE,serious_injury,sprain,treated_at_facility_released,FALSE,"front_legs, rear_legs",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance",TRUE,patrol_uniform
URSUS-01-0400-2019-5d0,Officer,CA0010400,male,white,,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance",TRUE,patrol_uniform
URSUS-01-0400-2019-5d0,Officer,CA0010400,male,white,,,21_25,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance",TRUE,patrol_uniform
URSUS-01-0400-2019-92d,Civilian,CA0010400,male,white,,,46_50,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,head,FALSE,other_control_hold,TRUE,other_control_hold,FALSE,FALSE,none,FALSE,211 ROBBERY:FIRST DEGREE,FALSE,,,TRUE,fleeing,in_custody_other,FALSE,,,,,,
URSUS-01-0400-2019-92d,Officer,CA0010400,male,white,,,36_40,TRUE,injury,abrasion_laceration,no_medical_aid,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape",TRUE,patrol_uniform
URSUS-01-0500-2019-1a6,Civilian,CA0010500,male,hispanic,,,18_20,TRUE,serious_injury,cut,treated_at_facility_released,FALSE,arms_hands,FALSE,k_9_contact,TRUE,k_9_contact,FALSE,FALSE,none,FALSE,459 BURGLARY,FALSE,,,TRUE,fleeing,in_custody_other,FALSE,,,,,,
URSUS-01-0500-2019-1a6,Officer,CA0010500,male,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,prevent_escape,TRUE,plainclothes
URSUS-01-0500-2019-8b4,Civilian,CA0010500,male,white,,,31_35,TRUE,death,gunshot_wound,treated_on_scene,FALSE,"head, front_upper_chest, front_below_waist",FALSE,discharge_of_firearm_hit,TRUE,discharge_of_firearm_hit,TRUE,TRUE,erratic,TRUE, ,TRUE,firearm,handgun,TRUE,life_threatening,deceased,TRUE,firearm,,,,,
URSUS-01-0500-2019-8b4,Officer,CA0010500,male,white,,,36_40,FALSE,,,,FALSE,not_applicable,,,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-0500-2019-8b4,Officer,CA0010500,male,white,,,36_40,FALSE,,,,FALSE,not_applicable,,,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-0500-2019-8b4,Officer,CA0010500,female,white,,,31_35,FALSE,,,,FALSE,not_applicable,,,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-0600-2019-302,Civilian,CA0010600,male,asian_indian,,,31_35,TRUE,serious_injury,gunshot_wound,critial_injuries,FALSE,"front_lower_abdomen, front_below_waist, arms_hands, front_legs",FALSE,discharge_of_firearm_hit,TRUE,discharge_of_firearm_hit,TRUE,TRUE,erratic,FALSE,1203.2(A) PROB VIOL:REAREST/REVOKE,TRUE,firearm,,FALSE,,in_custody_other,TRUE,firearm_replica,,,,,
URSUS-01-0600-2019-302,Officer,CA0010600,male,black,,,36_40,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-0600-2019-302,Officer,CA0010600,male,asian_indian,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-0600-2019-3fd,Civilian,CA0010600,,,,,,FALSE,,,,FALSE,not_applicable,FALSE,discharge_of_firearm_miss,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,TRUE, ,TRUE,firearm,,TRUE,fleeing,fled,FALSE,,,,,,
URSUS-01-0600-2019-3fd,Civilian,CA0010600,,,,,,FALSE,,,,FALSE,not_applicable,FALSE,discharge_of_firearm_miss,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,TRUE, ,TRUE,firearm,,TRUE,fleeing,fled,FALSE,,,,,,
URSUS-01-0600-2019-3fd,Officer,CA0010600,male,white,,,36_40,FALSE,,,,FALSE,not_applicable,,,TRUE,threat_of_firearm,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-01-0600-2019-3fd,Officer,CA0010600,male,white,,,46_50,FALSE,,,,FALSE,not_applicable,,,TRUE,threat_of_firearm,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-01-0600-2019-3fd,Officer,CA0010600,male,black,,,31_35,FALSE,,,,FALSE,not_applicable,,,TRUE,threat_of_firearm,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-01-0600-2019-6ff,Civilian,CA0010600,male,white,,,31_35,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,"front_upper_chest, rear_upper_back, rear_legs",TRUE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,alcohol_impairment,TRUE,148(A)(1) OBSTRUCT/ETC PUB OFCR/ETC,FALSE,,,TRUE,active_resistance,cited_and_released,FALSE,,,,,,
URSUS-01-0600-2019-6ff,Officer,CA0010600,male,hispanic,,,31_35,FALSE,,,,FALSE,arms_hands,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-0600-2019-6ff,Officer,CA0010600,male,white,,,46_50,FALSE,,,,FALSE,arms_hands,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,FALSE,,TRUE,patrol_uniform
URSUS-01-0600-2019-7c8,Civilian,CA0010600,male,black,,,31_35,FALSE,,,,FALSE,front_upper_chest,FALSE,discharge_of_firearm_miss,TRUE,discharge_of_firearm_miss,TRUE,TRUE,none,TRUE,245 ADW PEACE OFFICER/FIREMAN,TRUE,firearm,,FALSE,,in_custody_other,FALSE,,,,,,
URSUS-01-0600-2019-7c8,Civilian,CA0010600,,,,,,FALSE,,,,FALSE,front_upper_chest,FALSE,discharge_of_firearm_miss,TRUE,discharge_of_firearm_miss,TRUE,TRUE,,TRUE, ,TRUE,firearm,,TRUE,fleeing,fled,FALSE,,,,,,
URSUS-01-0600-2019-7c8,Officer,CA0010600,male,black,,,36_40,FALSE,,,,FALSE,not_applicable,,,TRUE,civilian_vehicle,FALSE,TRUE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-0600-2019-7c8,Officer,CA0010600,male,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
