INCIDENT_ID,ORI,INCIDENT_DATE_STR,INCIDENT_TIME_STR,CITY,COUNTY,STATE,ZIP_CODE,MULTIPLE_LOCATIONS,ON_K12_CAMPUS,ARREST_MADE,CRIME_REPORT_FILED,CONTACT_REASON,IN_CUSTODY_REASON,NUM_INVOLVED_CIVILIANS,NUM_INVOLVED_OFFICERS,NUM_INVOLVED_AGENCIES
URSUS-01-0000-2019-402,CA0010000,1/6/2019,16:20,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,in_custody_event,booked_awaiting_trial,1,2,1
URSUS-01-0000-2019-481,CA0010000,4/8/2019,10:30,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,in_custody_event,booked_awaiting_trial,1,5,1
URSUS-01-0000-2019-684,CA0010000,12/13/2019,22:30,SAN LEANDRO,ALAMEDA,CA,94578,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-01-0000-2019-6fc,CA0010000,3/13/2019,16:33,SAN LEANDRO,ALAMEDA,CA,94578,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,3,1
URSUS-01-0000-2019-701,CA0010000,11/26/2019,06:00,DUBLIN,ALAMEDA,CA,94568,FALSE,FALSE,TRUE,TRUE,in_custody_event,awaiting_booking,1,3,1
URSUS-01-0000-2019-d18,CA0010000,6/6/2019,13:43,OAKLAND,ALAMEDA,CA,94621,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-01-0400-2019-5d0,CA0010400,5/25/2019,21:24,EMERYVILLE,ALAMEDA,CA,94608,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,1,3,1
URSUS-01-0400-2019-92d,CA0010400,10/26/2019,15:56,EMERYVILLE,ALAMEDA,CA,94608,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-01-0500-2019-1a6,CA0010500,1/3/2019,11:30,SAN JOSE,SANTA CLARA,CA,95128,FALSE,FALSE,TRUE,TRUE,pre_planned,,1,1,1
URSUS-01-0500-2019-8b4,CA0010500,4/18/2019,21:49,FREMONT,ALAMEDA,CA,94538,FALSE,FALSE,TRUE,TRUE,ambush,,1,3,1
URSUS-01-0600-2019-302,CA0010600,8/13/2019,08:30,HAYWARD,ALAMEDA,CA,94544,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-01-0600-2019-3fd,CA0010600,5/13/2019,15:00,HAYWARD,ALAMEDA,CA,94545,FALSE,FALSE,FALSE,TRUE,call_for_service,,2,3,1
URSUS-01-0600-2019-6ff,CA0010600,2/26/2019,10:00,HAYWARD,ALAMEDA,CA,94542,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-01-0600-2019-7c8,CA0010600,6/18/2019,00:43,HAYWARD,ALAMEDA,CA,94545,FALSE,FALSE,TRUE,TRUE,in_progress,,2,2,1
URSUS-01-0600-2019-c1f,CA0010600,10/3/2019,00:56,HAYWARD,ALAMEDA,CA,94544,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-01-1200-2019-c2f,CA0011200,6/11/2019,16:04,SAN LEANDRO,ALAMEDA,CA,94577,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,1,1
URSUS-01-1300-2019-360,CA0011300,3/1/2019,00:32,UNION CITY,ALAMEDA,CA,94587,FALSE,FALSE,FALSE,TRUE,call_for_service,,1,2,1
URSUS-01-2100-2019-f4c,CA0012100,2/21/2019,06:21,PITTSBURG,CONTRA COSTA,CA,94565,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-04-0000-2019-49b,CA0040000,1/18/2019,17:50,OROVILLE,BUTTE,CA,95965,FALSE,FALSE,TRUE,TRUE,in_custody_event,other,1,3,1
URSUS-04-0000-2019-f5b,CA0040000,1/28/2019,12:21,RICHVALE,BUTTE,CA,95974,FALSE,FALSE,FALSE,FALSE,call_for_service,,1,11,1
URSUS-04-0300-2019-b1e,CA0040300,6/4/2019,04:56,GRIDLEY,BUTTE,CA,95948,FALSE,FALSE,TRUE,TRUE,vehicle_bike_pedestrian,,2,2,1
URSUS-07-0000-2019-8aa,CA0070000,6/6/2019,10:23,BAY POINT,CONTRA COSTA,CA,94565,FALSE,FALSE,TRUE,TRUE,consensual,booked_no_charge,1,1,1
URSUS-07-0100-2019-1f9,CA0070100,5/19/2019,07:14,ANTIOCH,CONTRA COSTA,CA,94509,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-07-0100-2019-29b,CA0070100,1/28/2019,10:38,ANTIOCH,CONTRA COSTA,CA,94531,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-07-0100-2019-3eb,CA0070100,4/17/2019,12:39,ANTIOCH,CONTRA COSTA,CA,94531,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-07-0100-2019-465,CA0070100,4/14/2019,02:24,ANTIOCH,CONTRA COSTA,CA,94509,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
URSUS-07-0100-2019-4bd,CA0070100,4/25/2019,13:59,ANTIOCH,CONTRA COSTA,CA,94509,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,1,1
URSUS-07-0100-2019-8d7,CA0070100,5/18/2019,21:33,ANTIOCH,CONTRA COSTA,CA,94509,FALSE,FALSE,TRUE,TRUE,call_for_service,,1,2,1
